summary_day,app,event_classification,duration_seconds,summary_day_end
2022-03-06,VSCode,invite participants,0.0,2022-03-07
2022-03-06,VSCode,restore.sql,1072.635,2022-03-07
2022-03-06,VSCode,untitled,2.286,2022-03-07
2022-03-06,VSCode,untitled-1 — question (workspace),3.434,2022-03-07
2022-03-07,VSCode,"""public"",""staff_list"",""phone"",""character • untitled-1 — question (workspace)",6.915,2022-03-08
2022-03-07,VSCode,calendar,0.0,2022-03-08
2022-03-07,VSCode,db_relationships.csv — question (workspace),157.819,2022-03-08
2022-03-07,VSCode,db_schema_metadata.csv — question (workspace),322.157,2022-03-08
2022-03-07,VSCode,dbconnect.py — question (workspace),159.598,2022-03-08
2022-03-07,VSCode,graph.py — question (workspace),203.656,2022-03-08
2022-03-07,VSCode,helpers.py — question (workspace),3.5060000000000002,2022-03-08
2022-03-07,VSCode,microsoft edge,0.0,2022-03-08
2022-03-07,VSCode,querybuilder.py — question (workspace),14.065,2022-03-08
2022-03-07,VSCode,question business,0.0,2022-03-08
2022-03-07,VSCode,question.py — question (workspace),2.6029999999999998,2022-03-08
2022-03-07,VSCode,restore.sql,270.403,2022-03-08
